katakana	english
キャロット	calotte
クスクス	Cuscus
コラムニスト	columnist
コリー	colly
コンツェルン	Konzern
サピエンス	sapiens
シガレット	cigarette
シーマ	cima
ジェラート	gelato
ジャーマン	German
スイム	swim
スノボー	snowboard
セレッソ	Cerezo
チュニック	tunic
ティック	tick
トラッキング	tracking
ナンプラー	namplaa
ハイドリヒ	Heydrich
ハグ	hug
ハノーバー	Hannover
バウムクーヘン	Baumkuchen
バラスト	ballast
ヒストグラム	histogram
ヒドロキシ	hydroxy
ビザンツ	Byzanz
ピアソラ	Piazzolla
ファンケル	FANCL
フォルテ	forte
ベイリー	Bayley
モルモット	marmot
ラウドネス	loudness
ラグジュアリー	luxury
ラディッシュ	radish
リボーン	reborn
ロキ	loci
ロッキング	rocking
ロブスター	lobster
ロータス	lotus
アウトサイダー	outsider
アポイント	appointment
アルゴン	argon
アンダーグラウンド	underground
アーカンソー	Arkansas
ウッディー	Woody
カタル	catarre
カメオ	cameo
カンタータ	cantata
キャリパー	caliper
クラッシャー	crusher
グツェリエフ	Gutseriyev
コッホ	Koch
コネチカット	Connecticut
コードレス	cordless
コーラル	coral
サラミ	salami
ジャッキ	jack
ジョーイ	Joey
ストレージ	storage
ズー	zoo
セザール	Cesar
チェンマイ	Chiengmai
ディアス	Dias
デージー	daisy
ニンフ	nymph
ネグレクト	neglect
ネフローゼ	Nephrose
ノベル	novel
バレリー	Valery
バーウェル	Burwell
バーミンガム	Birmingham
パイピング	piping
パシャ	pasha
パフィオ	Paphiopedilum
ヒロ	Hilo
ビフォー	before
ビューロー	bureau
フレイア	Freia
ブルックス	Brooks
ヘレニズム	Hellenism
ヘーブン	haven
ベネット	Bennett
ホルマリン	Formalin
ボイジャー	voyager
マオリ	Maori
マリアーノ	Mariano
マーメード	mermaid
ミズーリ	Missouri
メリーランド	Maryland
モデリング	modeling
ラルク	L'arc
リハ	rehearsal
ルカイヤ	Ruqaiyyah
レセプト	Rezept
ワセリン	Vaseline
アウトロー	outlaw
アズ	as
アパルトヘイト	apartheid
アフタヌーン	afternoon
アービング	Irving
イリュージョン	illusion
オッフェンバック	Offenbach
オールマイティー	almighty
カマー	comer
キネマ	kinema
コンストラクター	constructor
コンフリクト	conflict
コートニー	Courtney
シャーク	shark
ジャッカル	jackal
ジュビロ	Jubilo
ジュラルミン	duralumin
スキューバ	scuba
タント	Thant
タンブラー	tumbler
タンポン	Tampon
ダス	das
テラコッタ	terracotta
ハイエク	Hayek
バイタリティー	vitality
バイタル	vital
バーンアウト	burnout
ビズ	biz
ファラ	Farrah
フェアリー	fairy
フェス	festival
フォグ	fog
ブレーメン	Bremen
ブロード	broad
ベアー	bear
ベラルーシ	Belarus
ボッシュ	Bosch
マシュマロ	marshmallow
ミネソタ	Minnesota
モレッティ	Moretti
ユーリ	Yurii
ルワンダ	Rwanda
ロンド	rondo
ワイナリー	winery
ワッペン	Wappen
アイオワ	Iowa
アブ	Abu
アンソロジー	anthology
アンドロゲン	androgen
インセスト	incest
ウィンザー	Windsor
ウォーマー	warmer
エカテリーナ	Ekaterina
エシャロット	echalote
カピタン	capitao
カメレオン	chameleon
コミュニスト	communist
サルサ	salsa
ジョー	jaw
スプリンター	sprinter
セック	sec
ソレイユ	soleil
タンガニーカ	Tanganyika
タングステン	tungsten
ダイアフラム	diaphragm
ツベルクリン	Tuberkulin
トランスミッション	transmission
ノンストップ	nonstop
ノーブル	noble
ピサロ	Pizarro
フィッシング	phishing
プルーフ	proof
プロシア	Prussia
ヘルムート	Helmut
ベオグラード	Beograd
ベルン	Bern
ホメオスタシス	homeostasis
ボム	bomb
ボルガ	Volga
ポセイドン	Poseidon
マホガニー	mahogany
モー	mho
ユビキタス	ubiquitous
ラシーヌ	Racine
リミックス	remix
リーバイス	Levi's
ルーペ	Lupe
アナロジー	analogy
アビリティー	ability
アフロ	Afro
インターン	intern
ウェストミンスター	Westminster
ウラボン	ullambana
エキサイティング	exciting
エスケープ	escape
オリゲネス	Origenes
オールコック	Alcock
カムパネルラ	Campanella
クロエ	Chloe
グラナダ	Granada
ケルビン	Kelvin
コックス	cox
コムサ	comme ca
コーンビーフ	corned beef
サンダーバード	thunderbird
シニフィアン	signifiant
ジブラルタル	Gibraltar
ジュディス	Judith
スイッチング	switching
ステム	stem
セッター	setter
ソングライター	songwriter
ダーティー	dirty
トーテム	totem
ナツメグ	nutmeg
ニヒリズム	nihilism
ニールス	Niels
ハイフン	hyphen
ハングリー	hungry
パケ	package
ビオレッタ	Violetta
ピーリング	peeling
ファイリング	filing
フェニキア	Phoenicia
フォックス	fox
プトレマイオス	Ptolemaios
ベトミン	Viet Minh
ペリエ	Perrier
ポラロイド	Polaroid
マッシュ	mash
マンドリン	mandolin
マーストリヒト	Maastricht
ミルフィーユ	millefeuille
ミレー	Millet
ユーフラテス	Euphrates
ラドクリフ	Radcliffe
リレーション	relation
レイス	Reis
レシオ	ratio
アルル	Arles
イシュマエル	Ishmael
インタビュアー	interviewer
オナー	honor
オンタリオ	Ontario
オーボエ	oboe
カウチ	couch
カザン	Kazan
カルノー	Carnot
ギャザー	gather
クレオール	creole
コーク	coke
シビリアン	civilian
シラー	Schiller
ジャイロ	gyro
セブ	Cebu
セルゲイ	Sergey
テフロン	Teflon
ディキシー	Dixie
トポス	topos
ドッジボール	dodgeball
ニード	need
パネリスト	panelist
パンサー	panther
ヒッチコック	Hitchcock
ファサード	facade
ファシリテーター	facilitator
フィヒテ	Fichte
ブリッツ	blitz
ブルドッグ	bulldog
プジョー	Peugeot
プット	put
プロブレム	problem
ポカリ	Pocari
ポシェット	pochette
マッカートニー	McCartney
マッタ	Matta
ミクロネシア	Micronesia
メランコリー	melancholy
モラ	mola
モロトフ	Morotob
モンゴロイド	Mongoloid
ラッカー	lacquer
リストラクチュアリング	restructuring
ルートビヒ	Ludwig
ロビイスト	lobbyist
ロールス	Rolls
アグレッシブ	aggressive
アネット	Anette
アルカン	alkane
アングラ	underground
イド	id
イングリッド	Ingrid
エクステリア	exterior
エバンゲリオン	evangelion
オレ	Ole
オンス	ounce
カトレア	cattleya
カラン	kraan
カルチュラル	cultural
カーラー	curler
コミュニケ	communique
コモンズ	commons
コーカサス	Caucasus
ゴビ	Gobi
サブタイトル	subtitle
サポニン	saponin
シャットダウン	shutdown
シュレッダー	shredder
シンジケート	syndicate
ジャーニー	journey
ステークホルダー	stakeholder
センタリング	centring
タートルネック	turtleneck
ダッカ	Dacca
チャド	Chad
チュール	tulle
デット	debt
ノルマン	Norman
バンパイア	vampire
パーミル	permil
ファンタ	Fanta
ファーガソン	Ferguson
ブーメラン	boomerang
プラスミド	plasmid
ホアキン	Joaquin
ボーア	Boer
マイクロフィルム	microfilm
マーリク	Malik
ミーア	mia
ライコネン	Raikkonen
リバティー	liberty
リミッター	limiter
アミューズ	amuse
アーネスト	Ernest
インタレスト	interest
インターラクティブ	interactive
インペリアル	imperial
エゼキエル	Ezekiel
エル	el
カニューレ	Kanule
カムチャツカ	Kamchatka
キノ	kino
キュービズム	cubism
クライ	cry
クライム	crime
クラリス	Claris
クレール	Clair
グラハム	Graham
ケッペン	Koppen
コルベット	corvette
コンタックス	Contax
ゴブリン	goblin
サイロ	silo
サガ	saga
シエラ	sierra
ショーペンハウアー	Schopenhauer
ジェネレーション	generation
ジュエル	jewel
スターリング	sterling
セドリック	Cedric
タジキスタン	Tadzhikistan
ターザン	Tarzan
デルフォイ	Delphoi
ナタポン	Natapong
ニジェール	Niger
ニュークリア	nuclear
ノエル	Noel
バイアグラ	Viagra
バベル	Babel
バーネット	Barnett
パーソンズ	Parsons
フォーチュン	fortune
ブルーム	bloom
ヘブン	heaven
ベジタブル	vegetable
マクシミリアン	Maximilian
ミンク	mink
ライヒ	Reich
ラスプーチン	Rasputin
リッジ	ridge
リテーリング	retailing
レクイエム	requiem
ロイズ	Lloyd's
ローレル	laurel
アセチル	acetyl
アデレード	Adelaide
アニバーサリー	anniversary
アムール	Amur
インサート	insert
ウエハー	wafer
エリツィン	El'tsin
オデッサ	Odessa
オリー	Ory
オレガノ	oregano
オールデン	Alden
カプラー	coupler
カレン	Karen
ガリバルディ	Garibaldi
キャメル	camel
キルギス	Kirghiz
グラバー	Glover
グリニッジ	Greenwich
コルドバ	Cordova
コンピューティング	computing
コンボイ	convoy
サスキア	Saskia
サブルーチン	subroutine
シザー	scissor
シナジー	synergy
シャップ	Chappe
シュタイナー	Steiner
スクリャービン	Skryabin
スクリーム	scream
ストラビンスキー	Stravinskii
スパナ	spanner
セク	sector
ソフィア	sophia
タキオン	tachyon
タルタル	tartar
ダミアン	Damien
テストステロン	testosterone
テレックス	telex
テーラード	tailored
デッカ	Decca
トゥルース	truth
トルマリン	tourmaline
ドラッカー	Drucker
ドレープ	drape
ナッシング	nothing
ヌーレディン	Nourredine
ノルアドレナリン	noradrenalin
ハースト	Hearst
バリエ	variee
バルサミコ	balsamico
バルトーク	Bartok
ヒース	heath
ファンク	funk
ファーザー	father
フェデリコ	Federico
フェンシング	fencing
プレリュード	prelude
ベイト	bait
ペンタゴン	pentagon
ホメオパチー	Homoopathie
ホロコースト	holocaust
ポリプロピレン	polypropylene
モディリアーニ	Modigliani
モトクロス	motocross
ライラック	lilac
ラッパー	rapper
ラトビア	Latvia
ランコム	Lancome
リガンド	ligand
リヤカー	rearcar
ロマネスク	Romanesque
アゲイン	again
アスペルガー	Asperger
アセトン	acetone
アバント	avant
アルマ	alma
アルマン	Armand
アーミテージ	Armitage
エスタブリッシュメント	establishment
エスティ	Estee
エリ	Eli
オクラホマ	Oklahoma
オーパ	opa
オーフェン	Orphen
ガリア	Gallia
クラウチ	Crouch
グレコ	Greco
コリアンダー	coriander
ゴーレム	golem
ザクセン	Sachsen
シニカル	cynical
ジェド	Jed
スキンヘッド	skinhead
ゼネスト	general strike
タイピスト	typist
チアノーゼ	Zyanose
チケ	ticket
テキスタイル	textile
デタント	detente
トルファン	Turfan
パティスリー	patisserie
パブロフ	Pavlov
ピノキオ	Pinocchio
フェブラリー	February
フォーエバー	forever
フォーレ	Faure
フライアー	flier
フレックスタイム	flextime
ブラケット	bracket
ブリーフ	brief
ブロッカー	blocker
プリセット	preset
プロゲステロン	progesterone
マキシ	maxi
マキシマム	maximum
マーリン	Merlyn
ミニッツ	minute
ムンク	Munch
メトロノーム	Metronom
ユージン	Eugene
ラマン	Raman
リカー	liquor
リュー	Liu
リーガ	RIHGA
ルコック	Lecocq
ルピア	rupiah
ルポルタージュ	reportage
ロマンチスム	romanticism
アタッカー	attacker
アペックス	apex
アングロ	Anglo
エアロパーツ	aero-parts
オイディプス	Oedipus
オランウータン	orangutan
オークランド	Auckland
オージー	Aussie
ガードナー	Gardner
ガーベラ	gerbera
キャナル	canal
キーマン	keyman
クライマー	climber
クロフト	Croft
ケイシー	Cayce
コンポート	compote
サイボーグ	cyborg
サブネット	subnet
シラブル	syllable
スクレーパー	scraper
スプリンクラー	sprinkler
スペクタクル	spectacle
セリシン	sericin
セルロイド	celluloid
ディフェンダー	defender
デカール	decal
トナー	toner
トパーズ	topaz
ドロップアウト	drop-out
パエーリャ	paella
ファラオ	Pharaoh
フィルタリング	filtering
フィーチャー	feature
フェロー	fellow
フルトベングラー	Furtwangler
マドモアゼル	mademoiselle
ムーブ	move
モラール	morale
ヤルタ	Yalta
ユーミン	Yuming
リディア	Lydia
リバイアサン	Leviathan
リペアー	repair
レギュレーター	regulator
レバション	Reverchon
ワークステーション	work station
アゼルバイジャン	Azerbaidzhan
アミ	ami
アワード	award
イシス	Isis
イントラ	intra-
ウィンストン	Winston
ウォーターフロント	waterfront
ウガンダ	Uganda
エクソン	Exxon
エゴグラム	egogram
エリコ	Jericho
エレクトーン	Electone
キリコ	Chirico
ギルダー	guilder
クルサード	Coulthard
クルス	cruz
クロパトキン	Kuropatkin
クンニ	cunnilingus
ゲシュタルト	Gestalt
ゲルマニウム	Germanium
コンコルド	concorde
シャント	shunt
シーレ	Schiele
スカルプ	scalp
スナイパー	sniper
スペ	special
ダンシング	dancing
ダンロップ	Dunlop
トリクロロエチレン	trichloroethylene
ナレーター	narrator
ニッパー	nipper
ニトロ	nitro
バッカス	Bacchus
パピー	puppy
パルメザン	Parmesan
フィラリア	filaria
フェリス	Ferris
フォスター	Foster
フランクス	Franks
フレット	fret
ブリーフィング	briefing
ブータン	Bhutan
ヘゲモニー	Hegemonie
ヘラルド	herald
ベニン	Benin
ペディメント	pediment
ペーソス	pathos
ホエー	whey
ホランド	Holland
マスターベーション	masturbation
マンボ	mambo
マードック	Murdoch
マーロー	Marlowe
ラジウム	radium
ラナルド	Ranald
ラバウル	Rabaul
リノール	linole
ローリエ	laurier
ワンス	once
アイボリー	ivory
アビニョン	Avignon
アフターケア	aftercare
アミーゴ	amigo
アルデヒド	aldehyde
アルペン	Alpen
アンクル	uncle
アントニウス	Antonius
カウラ	Cowra
カウンシル	council
ガーディアン	guardian
ガーリー	girlie
キャブレター	carburetor
グリー	glee
コンピタンス	competence
コーディ	Cody Codey
サブプライム	subprime
シンパ	sympathizer
スカラ	scala
スポークスマン	spokesman
ゼッケン	Decke
ソレ	sole
デコルテ	decorte
トピア	Topia
トランポリン	trampoline
ドップラー	Doppler
ドリアン	durian
ドンキホーテ	Don Quijote
ナザレ	Nazareth
ニミッツ	Nimitz
ハーレム	Harlem
バプテスト	baptist
パブリシティー	publicity
パルパティーン	Palpatine
ビッド	bid
ピアジェ	Piaget
ファイナライズ	finalize
フェネル	fennel
フェレット	ferret
フエ	Hue
フッド	Hood
フランチャイジー	franchisee
ブラッシュ	brush
ブロードキャスト	broadcast
プロパー	proper
プロフ	profile
ペクチン	pectin
ホイッスル	whistle
ボサノバ	bossa nova
ボーイッシュ	boyish
マグナ	Magna
マジカル	magical
マドレーヌ	madeleine
ミッジ	Midge
メドゥーサ	Medusa
モロゾフ	Morozov
ユーカラ	Yukar
ラカン	Lacan
ラスキ	Laski
ランチョン	luncheon
リグ	rig
リフ	riff
リレーションシップ	relationship
アイシング	icing
アトリウム	atrium
アニュアル	annual
アプライド	applied
アミューズメント	amusement
イースター	Easter
エアーバス	airbus
エスプリ	esprit
エリクシール	elixir
エレクトロニック	electronic
オフィサー	officer
キンバリー	Kimberley
グラマラス	glamourous
ケラハー	Kelleher
ケント	Kent
ゲクラン	Guesclin
コニャック	cognac
コンクリ	concrete
コンスタン	Constant
サイコ	psycho
スタグフレーション	stagflation
スタビライザー	stabilizer
スプリット	split
スペーサー	spacer
セイバー	saber
セックスレス	sexless
トリシア	Tricia
ドイチェ	Deutsche
ナゲット	nugget
ナーシング	nursing
ハミング	humming
ハーマン	Hamann
パンジャブ	Panjab
ビデオテックス	videotex
ピケ	picket
ファクト	fact
ファンファーレ	fanfare
フランジ	flange
ブロンセ	Bronce
プリ	prix
ボキャブラリー	vocabulary
マルタン	Martin
マンディ	Mandy
ミューズ	Muse
ムール	moule
メヌエット	menuetto
メラミン	melamine
モザンビーク	Mozambique
モロ	Morro
モンタナ	Montana
ラボラトリー	laboratory
レジン	resin
レンナー	Renner
ロマンチシスト	romanticist
アウトサイド	outside
アカデミア	academia
アセトアルデヒド	acetaldehyde
アブソーバー	absorber
アンドロイド	android
イニシエーション	initiation
ウルムチ	Urumchi
オスター	Oster
カテキン	catechin
カールスルーエ	Karlsruhe
ガラパゴス	Galapagos
キャタピラー	caterpillar
キャニオン	canyon
クライシス	crisis
クラプトン	Clapton
クランチ	crunch
クレメンス	Clemens
ケアンズ	Cairns
コロサイ	Kolossai
コーム	comb
サルデーニャ	Sardegna
サンドペーパー	sandpaper
ザンビア	Zambia
ジギタリス	digitalis
ジャップ	Jap
スクーリング	schooling
ストラスブール	Strasbourg
ズック	doek
セシウム	cesium
タンポナーデ	tanponade
ターンテーブル	turntable
チャオ	ciao
ディケイ	decay
デニーロ	De Niro
デリラ	Delilah
トゥース	tooth
トマ	Thomas
ドローイング	drawing
バジェット	budget
バチスタ	Batisuta
プリマス	Plymouth
プロテクト	protect
プロテスタンティズム	Protestantism
ベガルタ	Vegalta
ベネッセ	Benesse
ホスピタリティー	hospitality
マサラ	masala
マスキング	masking
メルカトル	Mercator
ラガー	lager
ランカ	Lanka
リアス	rias
ロディック	Roddick
アセス	assess
アメジスト	amethyst
アメフト	American football
アンカレジ	Anchorage
アンギオテンシン	angiotensin
ウィルコム	Willcom
エビデンス	evidence
エボ	evolution
エンコーダー	encoder
オボ	ovoid
オリビエ	Olivier
オーギュスト	Auguste
オード	ode
カタパルト	catapult
ガスト	gusto
キッシュ	quiche
キャンバー	camber
キャンベラ	Canberra
キュービック	cubic
クラリン	clarin
クロロホルム	Chloroform
グレップ	grep
コレクティブ	collective
サポ	support
サムシング	something
ザイル	Seil
ザイール	Zaire
シオニズム	Zionism
ジェントルマン	gentleman
スカイプ	Skype
スコラ	schola
スペアリブ	spareribs
ソルボンヌ	Sorbonne
ソーマ	soma
テクノポリス	technopolis
ディスレクシア	Dyslexia
ディップ	dip
トライアスロン	triathlon
ドルフィン	dolphin
ニードル	needle
ノルム	norme
バルガス	Vargas
バンジー	bungee
バーム	balm
パッキング	packing
パックス	Pax
パーカッション	percussion
ファック	fuck
ファッショ	fascio
フェノロサ	Fenollosa
フランネル	flannel
ブゾーニ	Busoni
プリニウス	Plinius
プレーイング	playing
ベケット	Becket
ベンサム	Bentham
ポリティック	politic
マイルス	Miles
マオ	Mao
マッカーシー	McCarthy
マース	Mars
モノラル	monaural
ラサ	Lhasa
ラザルス	Lazarus
ランジェリー	lingerie
リアン	Lien
レスター	Lester
レーヨン	rayon
ロザリオ	rosario
ロベスピエール	Robespierre
ワルター	Walter
アプリオリ	a priori
アマリリス	amaryllis
アラジン	Aladdin
アルテア	Altea
アントシアニン	anthocyanin
イカロス	Ikaros
イゾリーナ	Isolina
インスペクター	inspector
インドラ	Indra
ウィスコンシン	Wisconsin
ウィッシュ	wish
エクストリーム	extreme
エクセレント	excellent
エメレンツィア	Emelenzia
エンタ	entertainment
エンバイロメント	environment
オリエンテーリング	orienteering
オースティン	Austen
カシュー	cashew
キャンパー	camper
クエーカー	Quaker
クランプ	clamp
グラマー	grammar
グランマ	grandma
グレンダ	Glenda
コピーライター	copywriter
コルチゾール	cortisol
コンソーシアム	consortium
コンテ	continuity
コンドミニアム	condominium
サファビー	Safavi
サマリー	summary
サンドラ	Sandra
サーモスタット	thermostat
サール	Searle
ザール	Zaal
シリウス	Sirius
ジャケ	jacket
ジーグ	gigue
スタント	stunt
ステルス	stealth
ターメリック	turmeric
チューリング	Turing
デストロン	Destron
デポジット	deposit
トムソン	Thomson
トランシーバー	transceiver
ドウ	Doe
ドボルザーク	Dvorak
ドリトル	Dolittle
ノッキング	knocking
ハイカー	hiker
ハッブル	Hubble
バイエル	Bayer
バキューム	vacuum
バスラ	Basra
バタビア	Batavia
バニー	bunny
フォトクロミック	photochromic
フォリフォリ	Folli Follie
フランチャイザー	franchiser
プルースト	Proust
プロテクション	protection
ヘラ	Hera
ペペロンチーノ	peperoncino
ボーカリスト	vocalist
ボーダーライン	borderline
ポメラニアン	Pomeranian
マトン	mutton
マリオット	Marriott
マルロー	Malraux
メゾ	mezzo
モーゲージ	mortgage
リバーシブル	reversible
レク	recreation
ロジャーズ	Rodgers
アイヒマン	Eichmann
アナリシス	analysis
アーチェリー	archery
イグニッション	ignition
イソップ	Aesop
ウェルギリウス	Vergilius
エピ	epi
エマーソン	Emerson
オルフェウス	Orpheus
オーバル	oval
オーライ	all right
カナディアン	Canadian
ガウス	Gauss
クミン	cumin
クリミア	Crimea
クレバス	crevasse
クレー	clay
グミ	gummi
コフ	cough
コミューター	commuter
コンコース	concourse
コンラッド	Conrad
シェアード	shared
シモーヌ	Simone
ジェンナー	Jenner
ジオシティーズ	Geocities
ジャクリーン	Jacqueline
ステント	stent
ストップウォッチ	stopwatch
ストリングス	strings
スリラー	thriller
センシティブ	sensitive
ソルバー	solver
タルコフスキー	Tarkovsky
チャイナタウン	Chinatown
ティルマン	Tilman
ディシプリン	discipline
デジャビュ	deja vu
デュオフォールド	Duofold
トラディショナル	traditional
ドリー	dolly
ドリーミング	dreaming
ドロン	Delon
ハリエット	Harriet
パティオ	patio
パーセル	parcel
ファンキー	funky
フィオレンティーナ	Fiorentina
フェルミ	Fermi
フランボワーズ	framboise
フープ	hoop
ブラウニー	brownie
ブレトンウッズ	Bretton Woods
プリウス	Prius
ペチュニア	petunia
ホーン	Hoorn
ボーイト	Boito
マジョリティー	majority
マングローブ	mangrove
ミキシング	mixing
ミスト	mist
ミッドナイト	midnight
ミニスカ	miniskirt
ミュート	mute
ミルズ	Mills
ムーラン	moulin
メルクマール	Merkmal
ライジング	rising
ランチャー	launcher
リンケージ	linkage
ルイージ	Luigi
ルルー	Leroux
レイアード	Layard
レキシントン	Lexington
アバタ	arbuda
アルフレード	Alfredo
ウィルズ	Wills
ウェーク	wake
ウラジーミル	Vladimir
ウーファー	woofer
エートス	ethos
オブライエン	O'Brien
オルレアン	Orleans
カマンベール	Camembert
カメルーン	Cameroun
キャプション	caption
ギー	ghee
グラファイト	graphite
グルー	glue
ケット	blanket
サイホン	siphon
サンドニ	Saint Denis
シアーズ	Sears
システマチック	systematic
シャモ	samo
シンバル	cymbal
シンメトリー	symmetry
スフィンクス	sphinx
セパレート	separate
ソドム	Sodom
ソレル	Sorel
タバスコ	Tabasco
タンギング	tonguing
ターフ	turf
ダニロフ	Danilov
チャンドラー	Chandler
チロシン	tyrosine
チーズバーガー	cheeseburger
トカマク	Tokamak
ナポリタン	napolitain
ネアンデルタール	Neanderthal
ハイパーリンク	hyperlink
ハニカム	honeycomb
バイブレーション	vibration
バングル	bangle
パディントン	Paddington
パトリオット	patriot
ビクトリー	victory
フィヨルド	fjord
ブランケット	blanket
プラトニック	Platonic
ヘドウィグ	Hedwig
ベジェ	Bezier
ベースライン	baseline
ペーパーバック	paperback
ホラス	Horace
ポラリス	Polaris
ミノー	minnow
ミーム	Miim
メディシン	medicine
メロー	mellow
モノグラム	monogram
ラウレンティウス	Laurentius
リキエル	Rykiel
リムーバー	remover
ルックアップ	lookup
レード	raid
アイロニー	irony
アンダーライン	underline
アーデン	Arden
インカム	income
インダス	Indus
エステート	estate
エンデバー	endeavor
オステオパシー	Osteopathy
オナ	onanie
カブン	coven
カメハメハ	Kamehameha
カヤック	kayak
クイディッチ	Quidditch
クーロン	coulomb
コスモポリタン	cosmopolitan
コット	cot
シッカート	Schickard
シャガール	Chagall
ジオラマ	diorama
ジキル	Jekyll
ジュライ	July
スターン	Stern
スワロー	swallow
セントレア	Centrair
ソアラー	soarer
チュートリアル	tutorial
チョッパー	chopper
ツンドラ	tundra
ティルト	tilt
テーベ	Thebes
デリカシー	delicacy
トゥエルブ	twelve
トゥーリー	Tooley
トルネード	tornado
トレンディー	trendy
トレーシング	tracing
ドミニカ	Dominica
ナミビア	Namibia
ナーガ	Naga
バーベル	barbell
パンチャーヤット	Panchayati
ヒュッテ	Hutte
ピアース	Pearce
ピッケル	Pickel
ピョートル	Pyotr
フロマージュ	fromage
フンボルト	Humboldt
ブラフマン	brahman
ブルペン	bullpen
プロキシー	proxy
ヘーゼルナッツ	hazelnuts
ベルゲン	Bergen
ペグ	peg
ホスピタル	hospital
ホーリー	holy
ボルフガング	Wolfgang
マカフィー	McAfee
マジシャン	magician
マジョルカ	Majorca
マッケイ	McCay
モノマー	monomer
モンパルナス	Montparnasse
ラグラン	raglan
ラシュワン	Rashwan
ラドン	radon
リフティング	lifting
リプトン	Lipton
ルミネ	LUMINE
レジュメ	resume
レメディー	remedy
ロッテルダム	Rotterdam
ロレアル	Loreal
ローズヒップ	rosehip
アイスナー	Eisner
アステカ	Azteca
アニメーター	animator
アフレコ	after recording
アルベルティ	Alberti
アントワープ	Antwerp
ウエザー	weather
エステティック	esthetique
エチュード	etude
エバン	Evan
エフェクター	effector
オテロ	Otello
オリジン	origin
オリベイラ	Oliveira
カザルス	Casals
カタルシス	katharsis
カルフール	carrefour
カンテラ	kandelaar
ガードル	girdle
キャノピー	canopy
キリマンジャロ	Kilimanjaro
クオーツ	quartz
クリエーション	creation
ケロイド	Keloid
コンセーユ	conseil
コンポスト	compost
サブユニット	subunit
シェーカー	shaker
シマンテック	Symantec
シュレディンガー	Schrodinger
シュンペーター	Schumpeter
スキーマ	schema
ステール	stere
ストーンヘンジ	Stonehenge
ソーリー	sorry
タジク	Tadzhik
ダイナモ	dynamo
ダフネ	Daphne
チャコ	chalk
テリーヌ	terrine
テート	Tate
ディドロ	Diderot
ディビジョン	division
トルティーヤ	tortilla
トレジャー	treasure
トレック	trek
ドラスティック	drastic
ドーバー	Dover
ナップザック	knapsack
ノワール	noir
ハバロフスク	Khabarovsk
パーラー	parlor
ピタゴラス	Pythagoras
ピューマ	puma
ピラティス	Pilates
ファンタスティック	fantastic
フォトグラフ	photograph
フローチャート	flowchart
ブリー	bully
ホームシック	homesick
ポンチョ	poncho
マンタ	manta
ミュータント	mutant
モロー	Moreau
モールス	Morse
ラスク	rusk
ラフォーレ	La foret
ラフマニノフ	Rakhmaninov
リセ	lycee
リットン	Lytton
リフレクソロジー	reflexology
ルブラン	Leblanc
レトロウイルス	retrovirus
ロシアン	Russian
ロンメル	Rommel
ロンリー	lonely
ローバー	rover
アテンダント	attendant
アプワイザー	Apuweiser
アーレント	Arendt
イオニア	Ionia
イザーク	Isaac
ウイッチ	witch
ウジュード	wujud
エボリューション	evolution
オフィーリア	Ophelia
オーサー	author
カイヨワ	Caillois
カポネ	Capone
カルボナーラ	carbonara
キャバ	cabaret
キュリー	Curie
キングダム	kingdom
グラスゴー	Glasgow
ケンタウルス	Centaurus
コロイド	colloid
コンディショニング	conditioning
コントラバス	Kontrabass
コンピテンシー	competency
コーンスターチ	cornstarch
サクソン	Saxon
サラセン	Saracen
サリチル	Salizyl
サントス	Santos
サンルーム	sunroom
シチズン	citizen
シュプール	Spur
スティンガー	stinger
タウト	Taut
チアミン	thiamine
チャコール	charcoal
ティラミス	tiramisu
デニッシュ	Danish
デリダ	Derrida
トゥルニエ	Tournier
トリマー	trimmer
ネプチューン	Neptune
ネーデルランド	Nederlanden
ハレー	Halley
バックハンド	backhand
バーチ	birch
バートフス	Bartfuss
パイソン	python
パドメ	Padme
パリス	Paris
ヒッチハイク	hitchhike
ビアズリー	Beardsley
ビフテキ	bifteck
ビリッチ	Bilic
ファット	fat
ファム	femme
フェイント	feint
フォーリン	foreign
フリゲート	frigate
フリスビー	Frisbee
ブロマイド	bromide
ベルナー	Werner
ペイメント	payment
ペレ	Perret
ホッブズ	Hobbes
ホブソン	Hobson
ホルムアルデヒド	formaldehyde
ホログラム	hologram
ボマー	bomber
マクリーン	Maclean
マッコール	McCall
マニピュレーター	manipulator
マルチーズ	Maltese
メセナ	mecenat
モラビア	Moravia
モールド	mold
ラスパイレス	Laspeyres
ラッド	lad
リトミック	rythmique
レシピエント	recipient
ロデオ	rodeo
アウトリガー	outrigger
アミラーゼ	amylase
アルキル	alkyl
ウォーターハウス	Waterhouse
エストニア	Estonia
オカリナ	ocarina
オッペンハイマー	Oppenheimer
オブラート	oblaat
オータム	autumn
カオリン	kaolin
カシュガル	Kashgar
ガラム	garam
ガーン	Garn
キール	keel
ギニア	Guinea
クフ	Khufu
クリッパー	clipper
クロノグラフ	chronograph
グスマン	Gusmao
グロッタ	grotta
ケイレイ	Cayley
コンシェルジュ	concierge
コンバート	convert
ゴダン	Godin
サナトリウム	sanatorium
サボタージュ	sabotage
サルコイドーシス	sarcoidosis
サージェント	Sargent
シェエラザード	Scheherazade
シニフィエ	signifie
シュベーアテ	Schwerte
ジャンカルロ	Giancarlo
ジューサー	juicer
スラング	slang
スリーパー	sleeper
センセーション	sensation
ソーサー	saucer
ダックスフント	Dachshund
